Sponsor,Name,Place,Where_Line_1,Where_Line_2,Where_Line_3,Cost,Description,Keyword,Type of Event,Event_Genre,Audience,Link,Schedule Type,Final_Start_Date,Final_End_Date,EventStartDate1,EventCompleteDate1,Freq,Interval,By_day,By_month,By_monthDay,Sh_start1,Sh_end1,Sh_start2,Sh_end2,Sh_start3,Sh_end3,EventStartDate2,EventCompleteDate2,Freq1,Interval1,By_day1,By_month1,By_monthDay1,Sh_start4,Sh_end4,Sh_start5,Sh_end5,Sh_start6,Sh_end6,EventStartDate3,EventCompleteDate3,Freq2,Interval2,By_day2,By_month2,By_monthDay2,Sh_start7,Sh_end7,Sh_start8,Sh_end8,Sh_start9,Sh_end9,EventStartDate4,EventCompleteDate4,Freq3,Interval3,By_day3,By_month3,By_monthDay4,Event Poster,Sh_start10,Sh_end10,Sh_start11,Sh_end11,Sh_start12,Sh_end12,EventStartDate5,EventCompleteDate5,Freq4,Interval4,By_day4,By_month4,By_monthDay4,Sh_start13,Sh_end13,Sh_start14,Sh_end14,Sh_start15,Sh_end15,Start_Hours_on_Monday,End_Hours_on_Monday,Start_Hours_on_Tuesday,End_Hours_Tuesday,Start_Hours_OnWednesday,End_Hours_onWdnesday,Start_hours_onThursday,End_hours_onThursday,Start_hours_on_Friday,End_hours_on_Friday,Satrt_hours_onSaturday,End_hours_onSaturday,Start_hours_onSunday,End_hours_onSunday
, Jean Shin And Brian Ripel Retreat ,, deCordova Sculpture Park and Museum 51 Sandy Pond Rd,  Lincoln, MA ,0,"
Filmmaker Rod Webber  (who directed Greta Gerwig in his 2010 film Northern Comfort)  is gearing up for his latest offering  The Church of Love and Confusion. The ambitious project is both a film and a series of paintings about a clan of shipwrecked cosmonauts in which Webber focuses on microcosms  moments and minutiae. The story (of the filmed portion)  does not concern itself with traditional story

artsboston.org
",,Course,,, ,performance_based,20/11/2012,30/12/2012,,,WEEKLY,1,"TU,TH",1,Monday,21:00:00,23:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,jeanshin.jpg,,,,,,,20/11/2012,30/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, The Church Of Love and Confusion  Hypnopomp In The Cave Of,, Middle East 472 Massachusetts Ave,  Cambridge, MA ,0,"
Formed in 2003  OM began as a duo made from the rhythm section of the disbanded doom-metal band  Sleep. Currently consisting of Al Cisneros on vocals and bass and Grails drummer  Emil Amos  OM?s bass-drums-vocals configuration provides for lumbering  dirge-like soundscapes  which are infused with monastic and Tibetan chanting. Advaitic Songs  the long awaited follow up to 2009?s God is Good  will

last.fm
",,Course,,,"
www.RodWebber.com
",performance_based,20/11/2012,1/12/2012,,,DAILY,1,,1,Monday,21:00:00,23:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,2_rod_webber_tetraviper_2_medium.jpg,,,,,,,20/11/2012,1/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Om At Brighton Music Hall,, Brighton Music Hall North Brighton,  Allston, MA ,0,"
Sum 41 is a Canadian rock band from Ajax  Ontario  active since 1996. The current members are Deryck Whibley (lead vocals  rhythm guitar)  Jason McCaslin (bass guitar  backing vocals)  Steve Jocz (drums  backing vocals)  and Tom Thacker (lead guitar  backing vocals  keyboard).In 1999  the band signed an international record deal with Island Records. The band released their debut album  All Killer

last.fm
",,Concert,,, ,performance_based,20/11/2012,20/11/2012,,,ONCE,1,TU,1,Monday,21:00:00,23:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,17613203.jpg,,,,,,,20/11/2012,20/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, The Does This Look Infected  10th Anniversary,, Paradise Rock Club 967 Comm Ave,  Boston, MA ,0,"
Boston has long been known for its important role in the modern harpsichord revival and in world of ""early music."" First Church in Boston continues this revival with a series of Thursday harpsichord recitals and concerts on period instruments. All concerts are free and open to the public. Donations are encouraged to support the programming. This series runs from September 6  2012 through February

artsboston.org
",,Concert,,, ,performance_based,20/11/2012,20/11/2012,,,ONCE,1,TH,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,234836.jpg,,,,,,,20/11/2012,20/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Early Music Thursdays,, First Church In Boston 66 Marlborough St,  Boston, MA ,0,"
Give back to your local community and start a new family tradition! Join us on Thanksgiving Morning for Dedham""s 1st 5K Turkey Trot and Kids Mile! Proceeds benefit the Dedham Food Pantry. Prizes awarded to top finishers.
More information at: www.facebook.com/dedhamturkeytrot
Register at: www.active.com
Thursday November 22nd  Kids race starts at 8:30 am 5K starts at 9:00 am

patch.com
",,Concert,,,"
www.firstchurchbostonmusic.org
",performance_based,29/11/2012,29/11/2012,,,ONCE,1,TH,1,Monday,12:15:00,14:45:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,earlymusic.jpg,,,,,,,29/11/2012,29/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Dedham 5k Turkey Trot And Kids Mile,," 57 Forest St,Endicott Estate",  Dedham, MA ,0,"
One of the cities best Thursday Night Parties ? 2 Floors of entertainment and capacity each and every week by midnight ? So ARRIVE EARLY OR BE PREPARED TO WAIT IN A LONG LINE! WEEKLY DRINK SPECIALS | PARTY BUS | BIRTHDAY | VIP DEALS AVAILABLE by visiting www.BostonVipList.com for details EVENT GUEST LIST AND VIP BOOKINGS: SUNNY ? 617.335.5582 BOSTONVIPLIST@GMAIL.COM WWW.BOSTONVIPLIST.COM

yahoo.com
",,Course,,,"
www.active.com
",performance_based,22/11/2012,22/11/2012,,,ONCE,1,TH,1,Monday,20:00:00,22:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,dedham.jpg,,,,,,,22/11/2012,22/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Trend Thursdays,, Wonderbar,  Allston, MA ,0,"
The Crafters are coming  The Crafters are coming! A New England Tradition continues ... The crafters are back in a big way for the Castleberry Faire Arts and Craft Festival taking place at the Shriner's Auditorium  99 Fordham Road in Wilmington  MA Thanksgiving Day Weekend  November 23  24 and 25. This three day shopping bonanza includes over 250 of the nation's finest craftsmen and artisans. This

massvacation.com
",,Concert,,,"
www.bostonviplist.com
",performance_based,22/11/2012,22/11/2012,,,ONCE,1,FR,1,Monday,21:00:00,23:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,trendthursday.jpg,,,,,,,22/11/2012,22/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, 17th Annual Castleberry Faire 99 Fordham Rd,, 99 Fordham Rd,  Wilmington, MA ,0,"
ArtsEmerson: The World on Stage presents The Pianist of Willesden Lane. Set in Vienna in 1938 and London during the Blitzkrieg  The Pianist of Willesden Lane tells the true story of Mona Golabek?s mother  noted pianist and author Lisa Jura. A young Jewish pianist  Lisa dreams of a concert debut at the storied Musikverein concert hall. When Lisa is swept up in the kindertransport  to protect her from

yahoo.com
",,Musical/ Show,,,"
festivalnet.com
",performance_based,23/11/2012,25/11/2012,,,DAILY,1,,1,Monday,10:00:00,12:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,castleberryfare.jpg,,,,,,,23/11/2012,25/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, The Pianist Of Willesden Lane,, 559 Washington St,  Boston, MA ,0,"
Now in its 33rd year  this selection of British Commercials presents the best television  cinema  and online commercials selected by British advertising professionals. The ICA is the only place on the East Coast screening this exhilarating program of British hilarity at its finest.

boston.com
",,Concert,,, ,performance_based,24/11/2012,16/12/2012,,,WEEKLY,1,SA,1,Monday,20:00:00,22:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,mona2_medium.jpg,,,,,,,24/11/2012,16/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Ica Presents The British Arrows: Featuring The Best British...,, The Institute of Contemporary Art Massachusetts,  Boston, MA ,0,"
Event: The Cake Boss: Buddy Valastro Venue: Lowell Memorial Auditorium Start: 11/23/2012 7:30:00 PM Category: OTHER OTHER

yahoo.com
",,Course,,,"
www.icaboston.org
",performance_based,23/11/2012,23/11/2012,,,ONCE,1,FR,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,ica_presents.jpg,,,,,,,23/11/2012,23/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, The Cake Boss Buddy Valastro,, 50 E Merrimack St Lowell Memorial Auditorium,  Lowell, MA ,0,"
: FRIDAY NOVEMBER 2ND @ ROYALE : FULL ON PRESENTS: DECISION 2012 WHICH WAY WILL YOU VOTE? DEMOCRATIC PARTY? REPUBLICAN PARTY? CLUB PARTY??? Sounds by BREEAZY and NRG LADIES FREE B4 MIDNITE! Get on the BostonVipList for reduced admission / VIP Tables highly encouraged for the event Music. Dance. Culture. Text in your names to 617-335-5582 BostonVipList@gmail.com Facebook.com/BostonVipList @BostonVipList

yahoo.com
",,Course,,,"
upcomingevents.net
",performance_based,23/11/2012,23/11/2012,,,ONCE,1,FR,1,Monday,19:30:00,22:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,thecake.jpg,,,,,,,23/11/2012,23/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Full On Fridays Royale,, Royale 279 Tremont St,  Boston, MA ,0,"
Arturo Sandoval (born November 6  1949) is a jazz trumpeter and pianist. He was born in Artemisa  in the newest renamed Artemisa Province  Cuba.Sandoval  while still in Cuba  was influenced by jazz legends Charlie Parker  Clifford Brown  and Dizzy Gillespie  finally meeting Dizzy later in 1977. Gillespie promptly became a mentor and colleague  playing with Arturo in concerts in Europe and Cuba and

jambase.com
",,Concert,,, ,performance_based,23/11/2012,23/11/2012,,,ONCE,1,SA,1,Monday,20:00:00,22:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,fullonfriday.jpg,,,,,,,23/11/2012,23/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Arturo Sandoval,, Doubletree Suites,  Allston, MA ,0,"
Buckle up for an journey thought time. Enjoy a series of family films including selections from the past and present. Using films as inspiration  compare today's trends and ideas about relationships and communication to those of the past. The screenings are repeated throughout the day in the Barbara Lee Family Foundation Theater.

boston.com
",,Concert,,,"
www.scullersjazz.com
",performance_based,24/11/2012,24/11/2012,,,ONCE,1,SA,1,Monday,20:00:00,22:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,artist150.jpg,,,,,,,24/11/2012,24/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Ica Play Dates Time Are A-changing,, The Institute of Contemporary and Art 100 Northern Avenue,  Boston, MA ,0,"
Stoneham Theatre presents America&#x27;s favorite holiday story  &#x27;It&#x27;s a Wonderful Life&#x27;  adapted for the stage and directed by Weylin Symes. Alone and in anguish one night on a bridge that overlooks his beloved Bedford Falls  George Bailey has convinced himself that his life and his work have been for nothing. Can the small victories and common decency of one man change an entire town

goldstar.com
",,Course,,,"
www.icaboston.org
",performance_based,24/11/2012,24/11/2012,,,ONCE,1,SA,1,Monday,10:00:00,12:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,ica.jpg,,,,,,,24/11/2012,24/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, It’s a Wonderful Life,, Stoneham Theater , 395 Main St Stoneham, MA,0,"Stoneham Theatre presents America's favorite holiday story, 'It's a Wonderful Life', adapted for the stage and directed by Weylin Symes. Alone and in anguish one night on a bridge that overlooks his beloved Bedford Falls, George Bailey has convinced himself that his life and his work have been for nothing. Can the small victories and common decency of one man change an entire town",,Theater/ Reading,,,,performance_based,24/11/2012,24/11/2012,,,ONCE,1,,1,Monday,15:00:00,17:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,wonderfullife-100112.jpg,,,,,,,24/11/2012,24/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
