Sponsor,Name,Place,Where_Line_1,Where_Line_2,Where_Line_3,Cost,Description,Keyword,Type of Event,Event_Genre,Audience,Link,Schedule Type,Final_Start_Date,Final_End_Date,EventStartDate1,EventCompleteDate1,Freq,Interval,By_day,By_month,By_monthDay,Sh_start1,Sh_end1,Sh_start2,Sh_end2,Sh_start3,Sh_end3,EventStartDate2,EventCompleteDate2,Freq1,Interval1,By_day1,By_month1,By_monthDay1,Sh_start4,Sh_end4,Sh_start5,Sh_end5,Sh_start6,Sh_end6,EventStartDate3,EventCompleteDate3,Freq2,Interval2,By_day2,By_month2,By_monthDay2,Sh_start7,Sh_end7,Sh_start8,Sh_end8,Sh_start9,Sh_end9,EventStartDate4,EventCompleteDate4,Freq3,Interval3,By_day3,By_month3,By_monthDay4,Event Poster,Sh_start10,Sh_end10,Sh_start11,Sh_end11,Sh_start12,Sh_end12,EventStartDate5,EventCompleteDate5,Freq4,Interval4,By_day4,By_month4,By_monthDay4,Sh_start13,Sh_end13,Sh_start14,Sh_end14,Sh_start15,Sh_end15,Start_Hours_on_Monday,End_Hours_on_Monday,Start_Hours_on_Tuesday,End_Hours_Tuesday,Start_Hours_OnWednesday,End_Hours_onWdnesday,Start_hours_onThursday,End_hours_onThursday,Start_hours_on_Friday,End_hours_on_Friday,Satrt_hours_onSaturday,End_hours_onSaturday,Start_hours_onSunday,End_hours_onSunday
, Soulive At Paradise Rock Club,, Paradise Rock Club 967 Comm Ave,  Boston, MA ,0,"
Soulive is a funk/jazz trio that originated in Woodstock  New York  and is known for its solos and catchy  upbeat songs. The band consists of Eric Krasno (guitar)  Alan Evans (drums)  Neal Evans (Hammond B3 organ  bass keys  clavinet). Although they originated as a trio  the band worked extensively with different horn sections  which consisted of Sam Kininger (saxophone) from 2000 2003  and Rashawn

last.fm
",,Concert,,, ,performance_based,30/12/2012,30/12/2012,,,ONCE,1,MO,1,Monday,20:00:00,22:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,512382.jpg,,,,,,,30/12/2012,30/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, O'briens Pub New Years Eve,, O'Brien's 3 Harvard Ave,  Allston, MA ,0,"
Advance Notice! O'briens Pub New Years Eve Party 2013 O'briens Pub New Years Eve Tickets are not availableyet! Fill out the form to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Course,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,obrien's.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Big City New Years Eve,, Big City Bar 138 Brighton Ave,  Allston, MA ,0,"
Advance Notice! Big City New Years Eve Party 2013 Big City New Years Eve Tickets are not availableyet! Fill out the form to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Course,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,bigcitynew.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Tt The Bear's Place New Years Eve,, T.T. The Bears 10 Brookline St,  Cambridge, MA ,0,"
Advance Notice! Tt The Bear's Place New Years Eve Party 2013 Tt The Bear's Place New Years Eve Tickets are not availableyet! Fill out the form to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Course,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,thebearsplace.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Lucky's New Years Eve,, Lucky's 355 Congress St,  Boston, MA ,0,"
Advance Notice! Lucky's New Years Eve Party 2013 Lucky's New Years Eve Tickets are not availableyet! Fill out the form to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Course,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,luckynewyearseve.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, The Boston Eagle New Years Eve,, Royale 279 Tremont St,  Boston, MA ,0,"
Advance Notice! The Beehive New Years Eve Party 2013 The Beehive New Years Eve Tickets are not availableyet! Fill out the form to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Course,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,bostoneaglenewyears.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, House Of Blues New Years Eve,, House of Blues 15 Lansdowne St,  Boston, MA ,0,"
Advance Notice! House Of Blues New Years Eve Party 2013 House Of Blues New Years Eve Tickets are not availableyet! Fill out the form above to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Concert,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,housesofblues.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Berklee Performance Center New Years Eve,, Berklee Performance Center 136 Massachusetts Ave,  Boston, MA ,0,"
Advance Notice! Berklee Performance Center New Years Eve Party 2013 Berklee Performance Center New Years Eve Tickets are not availableyet! Fill out the form to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Course,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,berkelysymolicwinds.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Pa's Lounge New Years Eve,, PA's lounge 345 Somerville Ave,  Somerville, MA ,0,"
Advance Notice! Pa's Lounge New Years Eve Party 2013 Pa's Lounge New Years Eve Tickets are not availableyet! Fill out the form to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Course,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,Pa'sLounge.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Orpheum Theatre New Years Eve,, Orpheum Theatre,  Boston, MA ,0,"
Advance Notice! Orpheum Theatre New Years Eve Party 2013 Orpheum Theatre New Years Eve Tickets are not availableyet! Fill out the form to receive advanced notification of early ticket sales  pre-sale discounts and large party reservation options. Free New Years Eve Concierge! Email info@newyears.com

boston.com
",,Theater/ Reading,,, ,performance_based,31/12/2012,31/12/2012,,,ONCE,1,MO,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,orpheum.jpg,,,,,,,31/12/2012,31/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
